Accession ID	Collection date	Submission date	Location
EPI_ISL_16854868	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854869	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854870	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854871	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854872	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854873	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854874	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854875	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854877	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854878	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854879	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854880	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854881	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854882	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854883	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854884	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854885	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854886	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854887	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854888	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854889	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854891	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854892	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854897	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854898	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854899	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854900	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854901	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854902	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854903	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854904	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854906	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854907	2021-11-25	2023-02-07	Europe / Albania
EPI_ISL_16854912	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854913	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854915	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854916	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854917	2021-11-24	2023-02-07	Europe / Albania
EPI_ISL_16854918	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854919	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854920	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854921	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854922	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854923	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854924	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854925	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854926	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854927	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854928	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854929	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854930	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854931	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854932	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854934	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854935	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854936	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854937	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854938	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854940	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854946	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854949	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854951	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854952	2021-11-26	2023-02-07	Europe / Albania
EPI_ISL_16854953	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854954	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854955	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854957	2021-11-29	2023-02-07	Europe / Albania
EPI_ISL_16854958	2021-11-29	2023-02-07	Europe / Albania
EPI_ISL_16854959	2021-11-28	2023-02-07	Europe / Albania
EPI_ISL_16854960	2021-11-27	2023-02-07	Europe / Albania
EPI_ISL_16854961	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854962	2021-11-30	2023-02-07	Europe / Albania
EPI_ISL_16854963	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854964	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854966	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854967	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854968	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854969	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854970	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854971	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854972	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854974	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854975	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854977	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854978	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854979	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854980	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854983	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854985	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854986	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854988	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854989	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854990	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16854991	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854992	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854993	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854994	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854995	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854996	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854997	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854998	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16854999	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855000	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855001	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855002	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855003	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855004	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855005	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855006	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855007	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16855008	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855009	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855010	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855012	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855013	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855015	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855016	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855017	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855018	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855019	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855020	2021-12-02	2023-02-07	Europe / Albania
EPI_ISL_16855022	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855023	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855024	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855025	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855026	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855028	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855029	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855030	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855031	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855032	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855034	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855035	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855036	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855037	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855038	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855039	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855040	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855041	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855042	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855043	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855044	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855045	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855046	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855047	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855048	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855050	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855051	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855052	2021-12-05	2023-02-07	Europe / Albania
EPI_ISL_16855053	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855054	2021-12-01	2023-02-07	Europe / Albania
EPI_ISL_16855055	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855056	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855057	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855058	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855059	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855060	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855061	2021-12-03	2023-02-07	Europe / Albania
EPI_ISL_16855062	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855063	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855064	2021-12-04	2023-02-07	Europe / Albania
EPI_ISL_16855065	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855066	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855067	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855068	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855069	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855070	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855071	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855072	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855073	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855074	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855075	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855076	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855077	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855078	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855079	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855080	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855081	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855082	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855083	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855084	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855085	2021-12-07	2023-02-07	Europe / Albania
EPI_ISL_16855086	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855087	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855088	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855089	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855090	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855091	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855092	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855093	2021-12-10	2023-02-07	Europe / Albania
EPI_ISL_16855096	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855098	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855099	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855100	2021-12-10	2023-02-07	Europe / Albania
EPI_ISL_16855101	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855102	2021-12-10	2023-02-07	Europe / Albania
EPI_ISL_16855103	2021-12-08	2023-02-07	Europe / Albania
EPI_ISL_16855105	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855106	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855107	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855108	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855109	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855110	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855111	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855112	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855113	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855114	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855115	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855116	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855117	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855118	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855119	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855120	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855121	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855122	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855123	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855124	2021-12-09	2023-02-07	Europe / Albania
EPI_ISL_16855127	2021-12-12	2023-02-07	Europe / Albania
EPI_ISL_16855128	2021-12-12	2023-02-07	Europe / Albania
EPI_ISL_16855129	2021-12-11	2023-02-07	Europe / Albania
EPI_ISL_16855131	2021-12-12	2023-02-07	Europe / Albania
EPI_ISL_16855132	2021-12-12	2023-02-07	Europe / Albania
EPI_ISL_16855134	2021-12-12	2023-02-07	Europe / Albania
EPI_ISL_16855135	2021-12-12	2023-02-07	Europe / Albania
EPI_ISL_16855136	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855137	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855138	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855139	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855140	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855141	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855142	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855144	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855145	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855146	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855147	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855148	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855149	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855150	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855151	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855153	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855154	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855155	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855156	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855158	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855159	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855160	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855161	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855162	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855163	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855164	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855165	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855166	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855167	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855168	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855170	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855171	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855172	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855173	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855175	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855176	2021-12-06	2023-02-07	Europe / Albania
EPI_ISL_16855177	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855182	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855183	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855185	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855187	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855188	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855189	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855190	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855191	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855192	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855193	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855194	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855195	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855196	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855197	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855198	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855199	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855202	2021-12-10	2023-02-07	Europe / Albania
EPI_ISL_16855203	2021-12-10	2023-02-07	Europe / Albania
EPI_ISL_16855204	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855205	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855206	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855207	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855208	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855209	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855210	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855211	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855213	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855214	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855220	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855221	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855224	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855225	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855226	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855227	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855228	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855232	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855233	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855237	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855238	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855241	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855243	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855246	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855248	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855249	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855250	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855251	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855252	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855253	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855254	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855255	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855257	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855258	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855260	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855261	2021-12-14	2023-02-07	Europe / Albania
EPI_ISL_16855263	2021-12-13	2023-02-07	Europe / Albania
EPI_ISL_16855264	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855266	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855267	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855268	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855269	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855271	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855272	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855273	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855274	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855275	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855276	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855277	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855278	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855281	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855282	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855283	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855284	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855286	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855288	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855289	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855290	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855293	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855295	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855296	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855297	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855298	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855299	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855303	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855304	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855305	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855307	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855309	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855310	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855312	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855313	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855316	2021-12-15	2023-02-07	Europe / Albania
EPI_ISL_16855317	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855318	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855320	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855321	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855322	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855323	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855324	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855325	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855326	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855327	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855328	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855329	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855331	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855332	2021-12-16	2023-02-07	Europe / Albania
EPI_ISL_16855333	2021-12-17	2023-02-07	Europe / Albania
EPI_ISL_16855334	2021-12-17	2023-02-07	Europe / Albania
